datetime,open,high,low,close,volume,openinterest
2020-01-02,3686.5999999999995,3746.0,3686.5999999999995,3715.7999999999993,81815.0,81731.0
2020-01-03,3726.5999999999995,3730.5999999999995,3700.5999999999995,3707.2,59449.0,73043.0
2020-01-06,3688.5999999999995,3740.2,3658.7999999999993,3688.0,84030.0,79552.0
2020-01-07,3703.0,3729.2,3695.5999999999995,3717.7999999999993,67920.0,72759.0
2020-01-08,3692.3999999999996,3715.5999999999995,3660.5999999999995,3681.0,78425.0,75531.0
2020-01-09,3708.3999999999996,3730.0,3700.5999999999995,3721.7999999999993,67568.0,67756.0
2020-01-10,3737.3999999999996,3744.0,3707.0,3720.3999999999996,58591.0,66326.0
2020-01-13,3728.7999999999993,3768.0,3705.0,3766.2,67535.0,64876.0
2020-01-14,3776.5999999999995,3790.3999999999996,3749.2,3754.2,53659.0,55789.0
2020-01-15,3745.3999999999996,3759.5999999999995,3711.0,3718.5999999999995,55203.0,47173.0
2020-01-16,3724.7999999999993,3728.5999999999995,3697.3999999999996,3712.7999999999993,40645.0,21918.0
2020-01-17,3720.999999999999,3742.999999999999,3701.7999999999993,3717.3999999999996,55746.0,59980.0
2020-01-20,3730.7999999999993,3750.999999999999,3710.999999999999,3746.999999999999,53915.0,56696.0
2020-01-21,3720.999999999999,3723.7999999999993,3662.3999999999996,3668.199999999999,63514.0,61974.0
2020-01-22,3650.3999999999996,3699.7999999999993,3592.7999999999993,3681.199999999999,77951.0,64685.0
2020-01-23,3637.7999999999993,3650.7999999999993,3506.5999999999995,3538.999999999999,79898.0,62931.0
2020-02-03,3217.7999999999993,3290.7999999999993,3135.999999999999,3135.999999999999,87300.0,67195.0
2020-02-04,3204.7999999999993,3326.999999999999,3204.5999999999995,3311.5999999999995,87830.0,65112.0
2020-02-05,3332.399999999999,3394.399999999999,3310.7999999999993,3345.1999999999994,84416.0,64435.0
2020-02-06,3359.7999999999993,3462.1999999999994,3333.7999999999993,3436.5999999999995,92820.0,68280.0
2020-02-07,3414.999999999999,3441.399999999999,3388.399999999999,3437.5999999999995,75548.0,62471.0
2020-02-10,3410.5999999999995,3459.7999999999993,3400.5999999999995,3436.1999999999994,74000.0,62874.0
2020-02-11,3463.399999999999,3500.7999999999993,3453.7999999999993,3480.399999999999,72619.0,60340.0
2020-02-12,3468.999999999999,3516.399999999999,3465.999999999999,3511.1999999999994,62759.0,56338.0
2020-02-13,3507.399999999999,3531.5999999999995,3483.1999999999994,3497.7999999999993,64289.0,56583.0
2020-02-14,3492.7999999999993,3547.5999999999995,3491.999999999999,3528.5999999999995,68877.0,56621.0
2020-02-17,3545.1999999999994,3627.999999999999,3540.7999999999993,3623.999999999999,68545.0,50256.0
2020-02-18,3611.199999999999,3618.199999999999,3565.599999999999,3586.599999999999,39476.0,64542.0
2020-02-19,3586.599999999999,3622.599999999999,3578.799999999999,3592.799999999999,52038.0,75572.0
2020-02-20,3607.999999999999,3698.999999999999,3591.3999999999987,3678.5999999999985,90567.0,98298.0
2020-02-21,3670.3999999999987,3732.7999999999993,3670.199999999999,3698.7999999999993,96644.0,100185.0
2020-02-24,3673.7999999999993,3692.199999999999,3633.599999999999,3660.199999999999,102077.0,104750.0
2020-02-25,3633.199999999999,3668.199999999999,3565.999999999999,3657.199999999999,119749.0,104971.0
2020-02-26,3615.199999999999,3664.199999999999,3592.999999999999,3616.199999999999,117949.0,102682.0
2020-02-27,3629.199999999999,3647.7999999999993,3610.3999999999987,3617.999999999999,92617.0,96359.0
2020-02-28,3532.3999999999987,3567.199999999999,3448.199999999999,3465.999999999999,126109.0,104326.0
2020-03-02,3507.799999999999,3635.799999999999,3505.3999999999987,3596.599999999999,114169.0,99296.0
2020-03-03,3658.5999999999985,3687.7999999999993,3600.199999999999,3612.599999999999,106544.0,96110.0
2020-03-04,3614.199999999999,3646.7999999999993,3595.3999999999987,3646.3999999999987,94519.0,92756.0
2020-03-05,3686.199999999999,3751.7999999999993,3656.5999999999985,3731.999999999999,112069.0,100356.0
2020-03-06,3701.5999999999985,3709.999999999999,3660.5999999999985,3660.999999999999,90386.0,88637.0
2020-03-09,3590.199999999999,3592.199999999999,3502.999999999999,3517.999999999999,108437.0,96783.0
2020-03-10,3550.199999999999,3635.199999999999,3489.799999999999,3612.3999999999987,131800.0,94633.0
2020-03-11,3607.3999999999987,3618.199999999999,3541.199999999999,3541.599999999999,101183.0,89693.0
2020-03-12,3496.199999999999,3508.199999999999,3436.3999999999987,3489.199999999999,107443.0,89335.0
2020-03-13,3291.3999999999987,3471.199999999999,3256.199999999999,3434.3999999999987,133433.0,94142.0
2020-03-16,3412.799999999999,3416.3999999999987,3231.199999999999,3232.199999999999,113253.0,83045.0
2020-03-17,3339.199999999999,3348.199999999999,3148.3999999999987,3222.199999999999,131932.0,86698.0
